naca0001
1.000000 0.000105
0.999748 0.000108
0.998993 0.000117
0.997736 0.000131
0.995977 0.000152
0.993719 0.000178
0.990964 0.000210
0.987715 0.000248
0.983974 0.000291
0.979746 0.000339
0.975036 0.000392
0.969846 0.000451
0.964184 0.000515
0.958054 0.000583
0.951463 0.000656
0.944418 0.000733
0.936925 0.000815
0.928992 0.000900
0.920627 0.000990
0.911838 0.001083
0.902635 0.001179
0.893027 0.001278
0.883022 0.001381
0.872632 0.001486
0.861867 0.001593
0.850737 0.001703
0.839255 0.001815
0.827430 0.001929
0.815276 0.002044
0.802805 0.002160
0.790028 0.002277
0.776960 0.002396
0.763613 0.002514
0.750000 0.002634
0.736136 0.002753
0.722033 0.002872
0.707708 0.002990
0.693173 0.003108
0.678443 0.003225
0.663534 0.003341
0.648460 0.003455
0.633237 0.003568
0.617879 0.003678
0.602403 0.003786
0.586824 0.003892
0.571157 0.003994
0.555419 0.004094
0.539625 0.004190
0.523791 0.004282
0.507933 0.004369
0.492067 0.004453
0.476209 0.004532
0.460375 0.004605
0.444581 0.004673
0.428843 0.004736
0.413176 0.004793
0.397597 0.004843
0.382121 0.004887
0.366763 0.004924
0.351540 0.004955
0.336466 0.004977
0.321557 0.004993
0.306827 0.005001
0.292292 0.005000
0.277967 0.004992
0.263864 0.004976
0.250000 0.004951
0.236387 0.004918
0.223040 0.004876
0.209972 0.004826
0.197195 0.004768
0.184724 0.004700
0.172570 0.004625
0.160745 0.004541
0.149263 0.004448
0.138133 0.004347
0.127368 0.004238
0.116978 0.004122
0.106973 0.003997
0.097365 0.003865
0.088162 0.003725
0.079373 0.003578
0.071008 0.003425
0.063075 0.003264
0.055582 0.003098
0.048537 0.002925
0.041946 0.002746
0.035816 0.002562
0.030154 0.002372
0.024964 0.002178
0.020254 0.001978
0.016026 0.001774
0.012285 0.001565
0.009036 0.001353
0.006281 0.001136
0.004023 0.000916
0.002264 0.000692
0.001007 0.000465
0.000252 0.000234
0.000000 0.000000
0.000252 -0.000234
0.001007 -0.000465
0.002264 -0.000692
0.004023 -0.000916
0.006281 -0.001136
0.009036 -0.001353
0.012285 -0.001565
0.016026 -0.001774
0.020254 -0.001978
0.024964 -0.002178
0.030154 -0.002372
0.035816 -0.002562
0.041946 -0.002746
0.048537 -0.002925
0.055582 -0.003098
0.063075 -0.003264
0.071008 -0.003425
0.079373 -0.003578
0.088162 -0.003725
0.097365 -0.003865
0.106973 -0.003997
0.116978 -0.004122
0.127368 -0.004238
0.138133 -0.004347
0.149263 -0.004448
0.160745 -0.004541
0.172570 -0.004625
0.184724 -0.004700
0.197195 -0.004768
0.209972 -0.004826
0.223040 -0.004876
0.236387 -0.004918
0.250000 -0.004951
0.263864 -0.004976
0.277967 -0.004992
0.292292 -0.005000
0.306827 -0.005001
0.321557 -0.004993
0.336466 -0.004977
0.351540 -0.004955
0.366763 -0.004924
0.382121 -0.004887
0.397597 -0.004843
0.413176 -0.004793
0.428843 -0.004736
0.444581 -0.004673
0.460375 -0.004605
0.476209 -0.004532
0.492067 -0.004453
0.507933 -0.004369
0.523791 -0.004282
0.539625 -0.004190
0.555419 -0.004094
0.571157 -0.003994
0.586824 -0.003892
0.602403 -0.003786
0.617879 -0.003678
0.633237 -0.003568
0.648460 -0.003455
0.663534 -0.003341
0.678443 -0.003225
0.693173 -0.003108
0.707708 -0.002990
0.722033 -0.002872
0.736136 -0.002753
0.750000 -0.002634
0.763613 -0.002514
0.776960 -0.002396
0.790028 -0.002277
0.802805 -0.002160
0.815276 -0.002044
0.827430 -0.001929
0.839255 -0.001815
0.850737 -0.001703
0.861867 -0.001593
0.872632 -0.001486
0.883022 -0.001381
0.893027 -0.001278
0.902635 -0.001179
0.911838 -0.001083
0.920627 -0.000990
0.928992 -0.000900
0.936925 -0.000815
0.944418 -0.000733
0.951463 -0.000656
0.958054 -0.000583
0.964184 -0.000515
0.969846 -0.000451
0.975036 -0.000392
0.979746 -0.000339
0.983974 -0.000291
0.987715 -0.000248
0.990964 -0.000210
0.993719 -0.000178
0.995977 -0.000152
0.997736 -0.000131
0.998993 -0.000117
0.999748 -0.000108
1.000000 -0.000105
