#    s        x        y     Ue/Vinf    Dstar     Theta      Cf       H
   1.03484  0.00025  0.00374  0.94089  0.000107  0.000048  0.017339     2.247
   1.03710  0.00004  0.00148  0.83866  0.000104  0.000047  0.015973     2.237
   1.03931  0.00001 -0.00072  0.73299  0.000103  0.000046  0.014124     2.236
   1.04155  0.00016 -0.00296  0.62293  0.000102  0.000046  0.012163     2.232
   1.04384  0.00050 -0.00522  0.50701  0.000102  0.000046  0.009983     2.228
   1.04619  0.00104 -0.00751  0.38622  0.000103  0.000046  0.007601     2.219
   1.04861  0.00181 -0.00981  0.26616  0.000105  0.000047  0.005052     2.233
   1.05110  0.00279 -0.01210  0.14728  0.000106  0.000048  0.002799     2.221
   1.05368  0.00399 -0.01437  0.03329  0.000115  0.000052  0.000580     2.230
   1.05634  0.00542 -0.01662 -0.07297  0.000115  0.000052  0.001270     2.230
   1.05910  0.00706 -0.01883 -0.17255  0.000124  0.000055  0.002752     2.245
   1.06197  0.00893 -0.02102 -0.26256  0.000130  0.000058  0.003988     2.239
   1.06496  0.01102 -0.02316 -0.34378  0.000140  0.000062  0.004805     2.257
   1.06810  0.01333 -0.02528 -0.41832  0.000147  0.000065  0.005591     2.251
   1.07138  0.01587 -0.02736 -0.48411  0.000158  0.000070  0.005858     2.276
   1.07484  0.01865 -0.02941 -0.54346  0.000168  0.000074  0.006242     2.271
   1.07848  0.02168 -0.03144 -0.59684  0.000180  0.000079  0.006304     2.287
   1.08235  0.02498 -0.03345 -0.64479  0.000191  0.000083  0.006364     2.292
   1.08645  0.02856 -0.03544 -0.68833  0.000204  0.000089  0.006324     2.301
   1.09082  0.03246 -0.03742 -0.72724  0.000218  0.000094  0.006180     2.313
   1.09549  0.03670 -0.03939 -0.76271  0.000232  0.000100  0.006056     2.319
   1.10051  0.04131 -0.04136 -0.79520  0.000247  0.000106  0.005884     2.327
   1.10591  0.04635 -0.04332 -0.82435  0.000264  0.000113  0.005640     2.339
   1.11176  0.05186 -0.04528 -0.85143  0.000280  0.000120  0.005460     2.344
   1.11810  0.05789 -0.04724 -0.87581  0.000300  0.000127  0.005190     2.357
   1.12501  0.06451 -0.04920 -0.89835  0.000319  0.000135  0.004973     2.363
   1.13254  0.07179 -0.05114 -0.91880  0.000340  0.000143  0.004715     2.374
   1.14077  0.07979 -0.05307 -0.93739  0.000363  0.000152  0.004465     2.384
   1.14977  0.08859 -0.05497 -0.95436  0.000387  0.000162  0.004226     2.392
   1.15962  0.09826 -0.05682 -0.96947  0.000414  0.000172  0.003970     2.404
   1.17035  0.10884 -0.05860 -0.98291  0.000442  0.000183  0.003728     2.415
   1.18200  0.12037 -0.06029 -0.99479  0.000472  0.000194  0.003498     2.425
   1.19457  0.13284 -0.06185 -1.00502  0.000504  0.000207  0.003269     2.437
   1.20804  0.14624 -0.06326 -1.01359  0.000538  0.000219  0.003047     2.450
   1.22234  0.16049 -0.06450 -1.02065  0.000573  0.000233  0.002839     2.463
   1.23741  0.17552 -0.06553 -1.02629  0.000611  0.000247  0.002644     2.476
   1.25314  0.19123 -0.06635 -1.03055  0.000650  0.000261  0.002456     2.491
   1.26946  0.20754 -0.06695 -1.03363  0.000690  0.000275  0.002285     2.505
   1.28628  0.22436 -0.06733 -1.03559  0.000732  0.000290  0.002121     2.521
   1.30353  0.24160 -0.06748 -1.03661  0.000775  0.000305  0.001971     2.537
   1.32113  0.25921 -0.06743 -1.03677  0.000819  0.000321  0.001830     2.554
   1.33905  0.27712 -0.06716 -1.03623  0.000865  0.000336  0.001699     2.572
   1.35724  0.29530 -0.06670 -1.03502  0.000912  0.000352  0.001575     2.591
   1.37566  0.31372 -0.06606 -1.03334  0.000959  0.000368  0.001464     2.609
   1.39429  0.33233 -0.06524 -1.03114  0.001009  0.000384  0.001356     2.630
   1.41311  0.35112 -0.06425 -1.02856  0.001060  0.000400  0.001255     2.651
   1.43210  0.37007 -0.06311 -1.02561  0.001113  0.000416  0.001161     2.674
   1.45123  0.38916 -0.06183 -1.02240  0.001167  0.000433  0.001073     2.697
   1.47050  0.40839 -0.06041 -1.01892  0.001223  0.000449  0.000988     2.722
   1.48990  0.42772 -0.05887 -1.01520  0.001281  0.000466  0.000908     2.750
   1.50941  0.44716 -0.05721 -1.01131  0.001342  0.000483  0.000832     2.779
   1.52903  0.46670 -0.05544 -1.00722  0.001406  0.000500  0.000758     2.811
   1.54874  0.48632 -0.05357 -1.00297  0.001473  0.000517  0.000686     2.847
   1.56854  0.50603 -0.05161 -0.99857  0.001545  0.000535  0.000616     2.886
   1.58842  0.52580 -0.04956 -0.99403  0.001622  0.000553  0.000547     2.932
   1.60837  0.54563 -0.04743 -0.98936  0.001705  0.000571  0.000477     2.984
   1.62838  0.56552 -0.04522 -0.98455  0.001799  0.000590  0.000406     3.048
   1.64845  0.58546 -0.04295 -0.97963  0.001905  0.000609  0.000333     3.126
   1.66856  0.60543 -0.04061 -0.97466  0.002026  0.000629  0.000259     3.222
   1.68869  0.62542 -0.03822 -0.96968  0.002169  0.000648  0.000182     3.346
   1.70884  0.64542 -0.03577 -0.96487  0.002337  0.000668  0.000107     3.501
   1.72897  0.66540 -0.03328 -0.96036  0.002535  0.000686  0.000037     3.695
   1.74904  0.68531 -0.03075 -0.95630  0.002762  0.000703 -0.000021     3.927
   1.76899  0.70510 -0.02819 -0.95270  0.003022  0.000719 -0.000065     4.202
   1.78881  0.72476 -0.02572 -0.94941  0.003172  0.000734 -0.000077     4.322
   1.80853  0.74434 -0.02336 -0.94627  0.003159  0.000749 -0.000064     4.220
   1.82819  0.76387 -0.02110 -0.93872  0.002908  0.000785  0.000029     3.705
   1.84781  0.78336 -0.01895 -0.90836  0.002311  0.000932  0.000655     2.481
   1.86737  0.80282 -0.01691 -0.89664  0.001894  0.000997  0.001672     1.899
   1.88689  0.82224 -0.01497 -0.89432  0.001698  0.001032  0.002512     1.645
   1.90632  0.84159 -0.01313 -0.89393  0.001628  0.001068  0.003031     1.524
   1.92564  0.86083 -0.01141 -0.89360  0.001620  0.001107  0.003312     1.463
   1.94476  0.87988 -0.00979 -0.89307  0.001646  0.001150  0.003449     1.431
   1.96356  0.89863 -0.00830 -0.89223  0.001690  0.001195  0.003499     1.414
   1.98188  0.91689 -0.00692 -0.89135  0.001741  0.001239  0.003504     1.405
   1.99947  0.93444 -0.00568 -0.89006  0.001800  0.001284  0.003477     1.401
   2.01607  0.95100 -0.00458 -0.88860  0.001860  0.001328  0.003435     1.401
   2.03142  0.96632 -0.00361 -0.88642  0.001925  0.001372  0.003375     1.402
   2.04532  0.98019 -0.00279 -0.88370  0.001992  0.001417  0.003305     1.406
   2.05771  0.99257 -0.00209 -0.87775  0.002089  0.001476  0.003175     1.415
   2.06516  1.00000 -0.00168 -0.88613  0.002020  0.001444  0.003338     1.399
   2.06516  1.00010 -0.00001  0.88613  0.018718  0.006628  0.000000     2.824
   2.07259  1.00747 -0.00093  0.87662  0.017739  0.006972  0.000000     2.544
   2.08120  1.01605 -0.00179  0.87781  0.016354  0.006930  0.000000     2.360
   2.09120  1.02600 -0.00269  0.88087  0.014936  0.006827  0.000000     2.188
   2.10279  1.03756 -0.00363  0.88577  0.013540  0.006674  0.000000     2.029
   2.11624  1.05097 -0.00461  0.89238  0.012222  0.006480  0.000000     1.886
   2.13184  1.06653 -0.00563  0.90036  0.011023  0.006263  0.000000     1.760
   2.14992  1.08459 -0.00669  0.90918  0.009967  0.006041  0.000000     1.650
   2.17091  1.10554 -0.00778  0.91830  0.009060  0.005828  0.000000     1.555
   2.19524  1.12985 -0.00888  0.92725  0.008291  0.005633  0.000000     1.472
   2.22346  1.15805 -0.00998  0.93573  0.007644  0.005459  0.000000     1.400
   2.25620  1.19077 -0.01104  0.94359  0.007101  0.005307  0.000000     1.338
   2.29417  1.22873 -0.01205  0.95078  0.006644  0.005176  0.000000     1.284
   2.33821  1.27276 -0.01294  0.95729  0.006260  0.005062  0.000000     1.237
   2.38928  1.32383 -0.01369  0.96316  0.005937  0.004963  0.000000     1.196
   2.44853  1.38307 -0.01420  0.96840  0.005667  0.004878  0.000000     1.162
   2.51724  1.45178 -0.01442  0.97307  0.005441  0.004805  0.000000     1.132
   2.59693  1.53148 -0.01423  0.97720  0.005255  0.004742  0.000000     1.108
   2.68937  1.62391 -0.01353  0.98082  0.005102  0.004688  0.000000     1.088
   2.79658  1.73111 -0.01217  0.98398  0.004977  0.004642  0.000000     1.072
   2.92093  1.85544 -0.00998  0.98669  0.004876  0.004603  0.000000     1.059
   3.06516  1.99963 -0.00677  0.98923  0.004791  0.004567  0.000000     1.049
